,a_variable_name,b_model_name,coef_all,down_conf_all,p_all,std_all,t_all,up_conf_all
0,C,modelorinagnal,14.212612926335188,3.797438723207078,0.002108626648346106,3.4575765177358093,4.110570757705835,24.6277871294633
1,x1,modelorinagnal,0.03248497287657873,-0.27383134191913183,0.7559565180085539,0.10168933100695746,0.3194531083536792,0.33880128767228923
2,x2,modelorinagnal,-0.6297384051215117,-1.5341649087295979,0.06234890367135637,0.30024690705163765,-2.097401806084906,0.2746880984865745
3,x3,modelorinagnal,-0.04778602502856973,-0.09547441937215817,0.012929804201053052,0.015831350415761107,-3.018442759058364,-9.763068498129523e-05
0,C,model0,6.288412481985091,-11.09159431970356,0.355473995723138,5.76972619215135,1.089897903740964,23.668419283673742
1,x1,model0,-0.17958289406937433,-0.765272522040136,0.42380676165680037,0.1944342614783069,-0.9236175389254144,0.4061067339013873
2,x2,model0,-0.004989681330493934,-1.5792610361427466,0.992981752990824,0.5226185911809497,-0.009547462364893795,1.5692816734817587
3,x3,model0,-0.0016201177321213678,-0.09663073223088835,0.9622632778311332,0.03154114018831504,-0.05136522403592653,0.09339049676664561
0,C,model1,28.01418584802864,21.925390211605766,0.000813142050362906,2.0213273828358096,13.859301608394727,34.10298148445151
1,x1,model1,-0.17069860455629116,-0.28283415564939907,0.019478347938179864,0.037226189471362504,-4.585443930209585,-0.05856305346318322
2,x2,model1,-1.4214018134744393,-1.817013861981739,0.0016875452111108644,0.13133327416082727,-10.822861324037563,-1.0257897649671395
3,x3,model1,-0.11454340177649663,-0.14367846975876458,0.0012944565822046701,0.009672111568510361,-11.842646868282342,-0.08540833379422869
